epoch,loss,train_acc,test_acc,rate_hz,epoch_seconds
1,97.63955283164978,8.055419323197647,16.96113074204947,12.332167389230321,3.4654128000001947
2,81.51588296890259,19.29867582148112,33.25971731448763,12.251532434423277,3.2546096999994916
3,69.59771966934204,32.50367827366356,43.77208480565371,12.080839343255732,3.250681799998347
4,60.8024160861969,42.76606179499755,53.621908127208485,11.954425027874418,3.257883199999924
5,54.22411799430847,51.495831289847956,55.30035335689046,11.844295035863167,3.2584513000001607
6,49.35568428039551,59.09759686120647,61.96996466431095,11.750248810308362,3.263077899999189
7,46.67992413043976,62.76360961255517,62.234982332155475,11.685624583320562,3.2916267000000516
8,43.691062211990356,67.68023540951447,64.17844522968198,11.656219647058148,3.247236899998825
9,41.49865686893463,70.0098087297695,65.2826855123675,11.599393192607437,3.248449900000196
10,39.50921273231506,72.53555664541442,65.85689045936395,11.553431534778843,3.2514693999983137
11,37.81705641746521,74.59538989700833,67.31448763250883,11.459513426177814,3.2543337999995856
12,35.70481216907501,78.13879352623835,67.31448763250883,11.363252393751532,3.270261199999368
13,34.67169505357742,79.11966650318783,68.7279151943463,11.252363278855292,3.257737599999018
14,33.02302449941635,81.08141245708681,70.31802120141343,11.137472005846922,3.2546884000003047
15,32.58295440673828,82.27072094163805,70.93639575971731,11.025495393536966,3.2524934000011854
16,31.163426101207733,83.66846493379107,72.34982332155478,10.947266822354708,3.2533122999993793
17,30.18559467792511,84.93133889161354,72.43816254416961,10.857595730903629,3.2549521999990247
18,29.11287349462509,86.30456105934282,72.12897526501767,10.773606985558946,3.255846800000654
19,28.047174155712128,87.87395782246199,72.87985865724382,10.716638943913988,3.2540312000000995
20,27.345662474632263,88.48700343305542,73.10070671378092,10.661624985152802,3.2543724000006478
21,26.82709151506424,89.01422265816576,75.0,10.606214701983202,3.2557844999992085
22,25.973140060901642,90.53457577243746,73.76325088339223,10.554637450573198,3.254977200000212
23,25.472505927085876,90.70622854340364,74.55830388692578,10.510216488915368,3.2555943000006664
24,24.9573974609375,91.7729279058362,74.07243816254417,10.467860066113138,3.2542811000002985
25,24.6231968998909,91.93231976459049,75.97173144876325,10.428524868578348,3.2556371000009676
26,24.051735937595367,92.75380088278567,75.8833922261484,10.401338031912855,3.254063000000315
27,23.970540285110474,92.99901912702305,75.66254416961131,10.382587457182597,3.257963699999891
28,23.140407741069794,93.7224129475233,76.23674911660777,10.341904636923736,3.258278400000563
29,23.117794573307037,93.78371750858264,77.03180212014135,10.328356568400565,3.2585908000000927
30,22.54364514350891,94.59293771456596,77.07597173144876,10.304594465539173,3.2576248000004853
31,22.327202916145325,94.83815595880334,75.79505300353357,10.30084734397989,3.2601776999999856
32,22.09733122587204,95.26728788621874,77.07597173144876,10.280066055664541,3.259541599998556
33,21.666735410690308,95.91711623344776,76.85512367491167,10.262496072676557,3.261259599999903
34,21.74306184053421,95.57381069151545,76.59010600706713,10.249766096757755,3.259664299999713
35,21.864154934883118,95.21824423737127,77.69434628975264,10.234308247475019,3.2599279999994906
36,21.128731310367584,96.16233447768514,77.34098939929329,10.220652716366786,3.262930299999425
37,20.718090534210205,96.62824914173615,77.29681978798587,10.211595925354032,3.261477799998829
38,20.728903472423553,96.66503187837175,75.44169611307422,10.200224049012995,3.2618588999994245
39,20.7694993019104,96.64051005394802,75.04416961130742,10.196418556411691,3.26481799999965
40,20.622749745845795,96.68955370279548,76.19257950530034,10.176060233647009,3.262544400000479
41,20.2089866399765,97.00833742030407,76.63427561837456,10.184466861053213,3.2623478999994404
42,19.763544499874115,97.388425698872,77.03180212014135,10.172142788380485,3.25945049999973
43,19.76374191045761,97.51103482099069,75.92756183745583,10.163556557768054,3.2664246000003914
44,19.47997659444809,97.67042667974496,75.30918727915194,10.16129595207899,3.2643523999995523
45,19.483613550662994,97.6213830308975,76.89929328621908,10.142760003180173,3.2700459999996383
46,19.126848578453064,98.06277587052476,77.16431095406361,10.135755178798583,3.2626533000002382
47,18.9612517952919,98.19764590485532,76.9434628975265,10.139705251980903,3.2652872999988176
48,18.990874707698822,98.320255026974,76.98763250883393,10.126434071734,3.274877399999241
49,18.73708403110504,98.38155958803335,77.34098939929329,10.115565683047755,3.2796651999997266
50,18.631675958633423,98.44286414909269,77.12014134275618,10.116722028357191,3.279978700000356
51,18.526814460754395,98.60225600784699,78.13604240282686,10.095607576094286,3.2807220999984565
52,18.430026531219482,98.58999509563512,77.56183745583039,10.094760148299565,3.289921499999764
53,18.360347390174866,98.60225600784699,76.59010600706713,10.089714196220575,3.368688700000348
54,18.209371507167816,98.9087788131437,76.63427561837456,10.073185911828714,3.3279664999990928
55,18.150714874267578,98.77390877881315,78.04770318021201,10.065819486325251,3.3372084999991785
56,18.166695177555084,98.65129965669446,78.48939929328623,10.072062793112433,3.398938600001202
57,17.997100710868835,99.08043158410986,76.67844522968198,10.08792415093183,3.477949300000546
58,18.006941318511963,98.9455615497793,78.84275618374559,10.059458838776669,3.4035941000001912
59,18.147457659244537,98.67582148111819,77.56183745583039,10.05990365605076,3.341887600001428
60,17.79494220018387,99.15399705738108,78.75441696113074,10.043894125586224,3.350706300001548
61,17.754915058612823,98.98234428641491,78.886925795053,10.040403237934497,3.420211599999675
62,17.777675688266754,99.11721432074546,77.87102473498233,10.02315384666963,3.3419551999995747
63,17.745250821113586,98.81069151544875,76.45759717314488,10.007652293940044,3.3377361000002566
64,17.654651641845703,99.00686611083864,77.87102473498233,10.002096867432718,3.3159467999994376
65,17.660189270973206,99.08043158410986,76.36925795053003,9.991736755820103,3.335875099999612
66,17.767491161823273,99.04364884747426,76.9434628975265,9.978486229941915,3.3610217000004923
67,17.6710444688797,98.95782246199117,74.91166077738515,9.962172571381497,3.37498880000021
68,17.681403279304504,98.93330063756743,77.8268551236749,9.940898571603729,3.362614300000132
69,17.905404925346375,98.71260421775379,77.16431095406361,9.9181724799036,3.3362745999984327
70,17.72954171895981,98.8719960765081,75.39752650176679,9.899442559542054,3.308606900000086
71,17.694666147232056,99.03138793526239,75.35335689045937,9.89676048499571,3.3078147000014724
72,17.702248573303223,98.9087788131437,76.63427561837456,9.892923561833312,3.291721300000063
73,17.903346598148346,98.70034330554194,76.67844522968198,9.868945336447094,3.2888122999993357
74,17.681931853294373,98.89651790093183,80.47703180212014,9.856477581209385,3.2924590000002354
75,17.67349410057068,99.03138793526239,80.56537102473497,9.875598437883152,3.291759899999306
76,17.685985445976257,99.04364884747426,78.48939929328623,9.897733635034792,3.296591199999966
77,17.110816180706024,99.39921530161844,80.52120141342756,9.894427140008123,3.271473999999216
78,16.853639900684357,99.64443354585582,78.18021201413427,9.889034553741112,3.271649199999956
79,16.626079261302948,99.63217263364395,78.26855123674912,9.884223582523601,3.2706637000010232
80,16.542098343372345,99.6076508092202,81.49293286219081,9.884916850899645,3.277045000000726
81,16.43163925409317,99.69347719470328,79.24028268551237,9.891963582696022,3.27525820000119
82,16.301063358783722,99.80382540461011,79.41696113074205,9.90284244823596,3.274847200000295
83,16.432149171829224,99.70573810691515,77.47349823321554,9.908491268410527,3.2763751999991655
84,16.327982753515244,99.73025993133889,78.31272084805654,9.916305205236176,3.284781500000463
85,16.321978986263275,99.77930358018637,79.726148409894,9.908188637008031,3.2918778999992355
