class,samples,accuracy_pct
0,103,93.20388349514563
1,108,50.0
2,105,80.0
3,102,89.2156862745098
4,116,99.13793103448276
5,110,93.63636363636364
6,109,99.08256880733946
7,109,95.41284403669725
8,114,99.12280701754386
9,103,64.07766990291263
10,122,77.04918032786885
11,121,96.69421487603306
12,121,43.80165289256198
13,120,67.5
14,115,69.56521739130434
15,112,83.03571428571429
16,118,68.64406779661016
17,121,33.88429752066116
18,123,99.1869918699187
19,112,22.321428571428573
