seed,test_acc,final_test_acc,train_acc,rate_hz,median_epoch_s,energy_uJ
1,80.78621908127208,76.59010600706713,99.84060814124571,9.910242699009931,11.581315250000443,10.09298380093183
2,80.1678445229682,79.63780918727915,99.77930358018637,10.015032189683975,11.572836800000005,10.093434479573322
3,82.773851590106,81.71378091872792,99.77930358018637,9.916989792790584,11.57171930000004,10.093012818832761
4,82.46466431095406,79.19611307420494,99.70573810691515,9.950373239409636,11.572958499999913,10.093156394359982
5,82.42049469964664,79.99116607773851,99.65669445806769,9.782095811365867,11.571873450000567,10.092432666797452
